KELYA US Equity,,,,,,,,,,,,,,,,,
Dates,Trade Value,Trade Volume,,Bid Value,Bid Volume,,Ask Value,Ask Volume,,B Trade Value,B Trade Volume,,B Bid Value,B Bid Volume,,B Ask Value,B Ask Volume
#NAME?,,,,,,,,,,,,,,,,,
12/10/2020 00:49,,,,,,,,,,,,,,,,,
12/10/2020 00:50,,,,,,,,,,,,,,,,,
12/10/2020 00:51,,,,,,,,,,,,,,,,,
12/10/2020 00:52,,,,,,,,,,,,,,,,,
12/10/2020 00:53,,,,,,,,,,,,,,,,,
12/10/2020 00:54,,,,,,,,,,,,,,,,,
12/10/2020 00:55,,,,,,,,,,,,,,,,,
12/10/2020 00:56,,,,,,,,,,,,,,,,,
12/10/2020 00:57,,,,,,,,,,,,,,,,,
12/10/2020 00:58,,,,,,,,,,,,,,,,,
12/10/2020 00:59,,,,,,,,,,,,,,,,,
12/10/2020 01:00,,,,,,,,,,,,,,,,,
12/10/2020 01:01,,,,,,,,,,,,,,,,,
12/10/2020 01:02,,,,,,,,,,,,,,,,,
12/10/2020 01:03,,,,,,,,,,,,,,,,,
12/10/2020 01:04,,,,,,,,,,,,,,,,,
12/10/2020 01:05,,,,,,,,,,,,,,,,,
12/10/2020 01:06,,,,,,,,,,,,,,,,,
12/10/2020 01:07,,,,,,,,,,,,,,,,,
12/10/2020 01:08,,,,,,,,,,,,,,,,,
12/10/2020 01:09,,,,,,,,,,,,,,,,,
12/10/2020 01:10,,,,,,,,,,,,,,,,,
12/10/2020 01:11,,,,,,,,,,,,,,,,,
12/10/2020 01:12,,,,,,,,,,,,,,,,,
12/10/2020 01:13,,,,,,,,,,,,,,,,,
12/10/2020 01:14,,,,,,,,,,,,,,,,,
12/10/2020 01:15,,,,,,,,,,,,,,,,,
12/10/2020 01:16,,,,,,,,,,,,,,,,,
12/10/2020 01:17,,,,,,,,,,,,,,,,,
12/10/2020 01:18,,,,,,,,,,,,,,,,,
12/10/2020 01:19,,,,,,,,,,,,,,,,,
12/10/2020 01:20,,,,,,,,,,,,,,,,,
12/10/2020 01:21,,,,,,,,,,,,,,,,,
12/10/2020 01:22,,,,,,,,,,,,,,,,,
12/10/2020 01:23,,,,,,,,,,,,,,,,,
12/10/2020 01:24,,,,,,,,,,,,,,,,,
12/10/2020 01:25,,,,,,,,,,,,,,,,,
12/10/2020 01:26,,,,,,,,,,,,,,,,,
12/10/2020 01:27,,,,,,,,,,,,,,,,,
12/10/2020 01:28,,,,,,,,,,,,,,,,,
12/10/2020 01:29,,,,,,,,,,,,,,,,,
12/10/2020 01:30,,,,,,,,,,,,,,,,,
12/10/2020 01:31,,,,,,,,,,,,,,,,,
12/10/2020 01:32,,,,,,,,,,,,,,,,,
12/10/2020 01:33,,,,,,,,,,,,,,,,,
12/10/2020 01:34,,,,,,,,,,,,,,,,,
12/10/2020 01:35,,,,,,,,,,,,,,,,,
12/10/2020 01:36,,,,,,,,,,,,,,,,,
12/10/2020 01:37,,,,,,,,,,,,,,,,,
12/10/2020 01:38,,,,,,,,,,,,,,,,,
12/10/2020 01:39,,,,,,,,,,,,,,,,,
12/10/2020 01:40,,,,,,,,,,,,,,,,,
12/10/2020 01:41,,,,,,,,,,,,,,,,,
12/10/2020 01:42,,,,,,,,,,,,,,,,,
12/10/2020 01:43,,,,,,,,,,,,,,,,,
12/10/2020 01:44,,,,,,,,,,,,,,,,,
12/10/2020 01:45,,,,,,,,,,,,,,,,,
12/10/2020 01:46,,,,,,,,,,,,,,,,,
12/10/2020 01:47,,,,,,,,,,,,,,,,,
12/10/2020 01:48,,,,,,,,,,,,,,,,,
12/10/2020 01:49,,,,,,,,,,,,,,,,,
12/10/2020 01:50,,,,,,,,,,,,,,,,,
12/10/2020 01:51,,,,,,,,,,,,,,,,,
12/10/2020 01:52,,,,,,,,,,,,,,,,,
12/10/2020 01:53,,,,,,,,,,,,,,,,,
12/10/2020 01:54,,,,,,,,,,,,,,,,,
12/10/2020 01:55,,,,,,,,,,,,,,,,,
12/10/2020 01:56,,,,,,,,,,,,,,,,,
12/10/2020 01:57,,,,,,,,,,,,,,,,,
12/10/2020 01:58,,,,,,,,,,,,,,,,,
12/10/2020 01:59,,,,,,,,,,,,,,,,,
12/10/2020 02:00,,,,,,,,,,,,,,,,,
12/10/2020 02:01,,,,,,,,,,,,,,,,,
12/10/2020 02:02,,,,,,,,,,,,,,,,,
12/10/2020 02:03,,,,,,,,,,,,,,,,,
12/10/2020 02:04,,,,,,,,,,,,,,,,,
12/10/2020 02:05,,,,,,,,,,,,,,,,,
12/10/2020 02:06,,,,,,,,,,,,,,,,,
12/10/2020 02:07,,,,,,,,,,,,,,,,,
12/10/2020 02:08,,,,,,,,,,,,,,,,,
12/10/2020 02:09,,,,,,,,,,,,,,,,,
12/10/2020 02:10,,,,,,,,,,,,,,,,,
12/10/2020 02:11,,,,,,,,,,,,,,,,,
12/10/2020 02:12,,,,,,,,,,,,,,,,,
12/10/2020 02:13,,,,,,,,,,,,,,,,,
12/10/2020 02:14,,,,,,,,,,,,,,,,,
12/10/2020 02:15,,,,,,,,,,,,,,,,,
12/10/2020 02:16,,,,,,,,,,,,,,,,,
12/10/2020 02:17,,,,,,,,,,,,,,,,,
12/10/2020 02:18,,,,,,,,,,,,,,,,,
12/10/2020 02:19,,,,,,,,,,,,,,,,,
12/10/2020 02:20,,,,,,,,,,,,,,,,,
12/10/2020 02:21,,,,,,,,,,,,,,,,,
12/10/2020 02:22,,,,,,,,,,,,,,,,,
12/10/2020 02:23,,,,,,,,,,,,,,,,,
12/10/2020 02:24,,,,,,,,,,,,,,,,,
12/10/2020 02:25,,,,,,,,,,,,,,,,,
12/10/2020 02:26,,,,,,,,,,,,,,,,,
12/10/2020 02:27,,,,,,,,,,,,,,,,,
12/10/2020 02:28,,,,,,,,,,,,,,,,,
12/10/2020 02:29,,,,,,,,,,,,,,,,,
12/10/2020 02:30,,,,,,,,,,,,,,,,,
12/10/2020 02:31,,,,,,,,,,,,,,,,,
12/10/2020 02:32,,,,,,,,,,,,,,,,,
12/10/2020 02:33,,,,,,,,,,,,,,,,,
12/10/2020 02:34,,,,,,,,,,,,,,,,,
12/10/2020 02:35,,,,,,,,,,,,,,,,,
12/10/2020 02:36,,,,,,,,,,,,,,,,,
12/10/2020 02:37,,,,,,,,,,,,,,,,,
