RUSHA US Equity,,,,,,,,,,,,,,,,,,,,
Dates,Trade Value,Trade Volume,,Bid Value,Bid Volume,,Ask Value,Ask Volume,,ll,B Trade Volume,,B Bid Value,B Bid Volume,,B Ask Value,B Ask Volume,,,B Trade Value
#REF!,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:49,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:50,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:51,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:52,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:53,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:54,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:55,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:56,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:57,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:58,,,,,,,,,,,,,,,,,,,,0
10/12/2020 00:59,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:00,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:01,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:02,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:03,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:04,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:05,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:06,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:07,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:08,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:09,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:10,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:11,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:12,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:13,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:14,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:15,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:16,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:17,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:18,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:19,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:20,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:21,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:22,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:23,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:24,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:25,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:26,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:27,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:28,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:29,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:30,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:31,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:32,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:33,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:34,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:35,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:36,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:37,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:38,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:39,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:40,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:41,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:42,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:43,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:44,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:45,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:46,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:47,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:48,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:49,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:50,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:51,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:52,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:53,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:54,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:55,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:56,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:57,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:58,,,,,,,,,,,,,,,,,,,,0
10/12/2020 01:59,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:00,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:01,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:02,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:03,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:04,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:05,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:06,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:07,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:08,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:09,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:10,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:11,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:12,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:13,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:14,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:15,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:16,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:17,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:18,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:19,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:20,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:21,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:22,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:23,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:24,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:25,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:26,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:27,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:28,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:29,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:30,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:31,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:32,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:33,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:34,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:35,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:36,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:37,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:38,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:39,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:40,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:41,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:42,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:43,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:44,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:45,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:46,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:47,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:48,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:49,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:50,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:51,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:52,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:53,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:54,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:55,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:56,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:57,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:58,,,,,,,,,,,,,,,,,,,,0
10/12/2020 02:59,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:00,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:01,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:02,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:03,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:04,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:05,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:06,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:07,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:08,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:09,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:10,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:11,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:12,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:13,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:14,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:15,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:16,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:17,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:18,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:19,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:20,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:21,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:22,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:23,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:24,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:25,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:26,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:27,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:28,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:29,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:30,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:31,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:32,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:33,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:34,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:35,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:36,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:37,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:38,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:39,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:40,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:41,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:42,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:43,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:44,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:45,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:46,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:47,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:48,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:49,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:50,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:51,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:52,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:53,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:54,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:55,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:56,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:57,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:58,,,,,,,,,,,,,,,,,,,,0
10/12/2020 03:59,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:00,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:01,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:02,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:03,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:04,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:05,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:06,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:07,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:08,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:09,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:10,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:11,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:12,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:13,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:14,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:15,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:16,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:17,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:18,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:19,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:20,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:21,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:22,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:23,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:24,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:25,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:26,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:27,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:28,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:29,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:30,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:31,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:32,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:33,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:34,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:35,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:36,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:37,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:38,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:39,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:40,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:41,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:42,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:43,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:44,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:45,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:46,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:47,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:48,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:49,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:50,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:51,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:52,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:53,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:54,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:55,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:56,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:57,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:58,,,,,,,,,,,,,,,,,,,,0
10/12/2020 04:59,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:00,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:01,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:02,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:03,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:04,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:05,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:06,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:07,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:08,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:09,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:10,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:11,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:12,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:13,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:14,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:15,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:16,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:17,,,,,,,,,,,,,,,,,,,,0
10/12/2020 05:18,,,,,,,,,,,,,,,,,,,,0
